species,decimalLatitude,decimalLongitude,geometry,index_right,latitude,longitude,temp,precip,nitrogen,dist_km
Bombus terrestris,51.486147,11.941689,POINT (11.941689 51.486147),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09570411866790621
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.438091,11.913314,POINT (11.913314 51.438091),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0403507977244576
Bombus terrestris,51.438731,11.912551,POINT (11.912551 51.438731),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.040713854668894836
Bombus terrestris,51.440265,11.912014,POINT (11.912014 51.440265),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04201911970757849
Bombus terrestris,51.440249,11.911946,POINT (11.911946 51.440249),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04198438896780839
Bombus terrestris,51.440398,11.911945,POINT (11.911945 51.440398),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04212696795403438
Bombus terrestris,51.440812,11.911463,POINT (11.911463 51.440812),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.042391269301593044
Bombus terrestris,51.441189,11.91116,POINT (11.91116 51.441189),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04267410597774999
Bombus terrestris,51.441254,11.911067,POINT (11.911067 51.441254),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.042712656262519536
Bombus terrestris,51.442132,11.90998,POINT (11.90998 51.442132),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.043297873204121325
Bombus terrestris,51.440501,11.909984,POINT (11.909984 51.440501),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.041713442161968685
Bombus terrestris,51.441081,11.909438,POINT (11.909438 51.441081),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04215120882014957
Bombus terrestris,51.441107,11.909806,POINT (11.909806 51.441107),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.042260419839375674
Bombus terrestris,51.440998,11.910125,POINT (11.910125 51.440998),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04222974815222275
Bombus terrestris,51.441148,11.910255,POINT (11.910255 51.441148),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04240663779409962
Bombus terrestris,51.441626,11.911241,POINT (11.911241 51.441626),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04311709587854996
Bombus terrestris,51.442232,11.911553,POINT (11.911553 51.442232),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04378371424399551
Bombus terrestris,51.441967,11.909918,POINT (11.909918 51.441967),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04312303112027203
Bombus terrestris,51.441319,11.912521,POINT (11.912521 51.441319),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.043174473963212424
Bombus terrestris,51.442313,11.912622,POINT (11.912622 51.442313),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04415546232347718
Bombus terrestris,51.442836,11.912693,POINT (11.912693 51.442836),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04467700913221605
Bombus terrestris,51.443329,11.912767,POINT (11.912767 51.443329),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.045170770748350096
Bombus terrestris,51.441949,11.91113,POINT (11.91113 51.441949),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.043400408995770974
