time,step,latitude,longitude,precip,temp,ssrd,number,surface,nitrogen,site_id
2018-11-30,0 days 20:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 20:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 21:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 21:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 21:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 21:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 22:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 22:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 22:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 22:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 23:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 23:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 23:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 23:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,1 days 00:00:00,51.4,11.8,2.2642791,2.9618225,1084868.0,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,1 days 00:00:00,51.4,11.9,2.9358447,3.030182,1001148.0,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,1 days 00:00:00,51.3,11.8,2.5760114,2.750885,1032248.0,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,1 days 00:00:00,51.3,11.9,3.3489943,2.8622131,943752.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 01:00:00,51.4,11.8,0.0008586794,2.9221497,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 01:00:00,51.4,11.9,0.0008586794,2.943634,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 01:00:00,51.3,11.8,0.0,2.7737122,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 01:00:00,51.3,11.9,0.00051036477,2.849884,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 02:00:00,51.4,11.8,0.0017173588,2.9302673,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 02:00:00,51.4,11.9,0.0017173588,2.8716736,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 02:00:00,51.3,11.8,0.00085681677,2.7876892,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 02:00:00,51.3,11.9,0.0013671815,2.785736,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 03:00:00,51.4,11.8,0.002577901,3.174652,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 03:00:00,51.4,11.9,0.002577901,3.0457458,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 03:00:00,51.3,11.8,0.0017136335,3.112152,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 03:00:00,51.3,11.9,0.0022277236,3.0535583,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 04:00:00,51.4,11.8,0.0034347177,3.4792175,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 04:00:00,51.4,11.9,0.0034347177,3.328827,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 04:00:00,51.3,11.8,0.002577901,3.4284363,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 04:00:00,51.3,11.9,0.0030845404,3.346405,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 05:00:00,51.4,11.8,0.0042915344,3.8322449,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 05:00:00,51.4,11.9,0.0042915344,3.7013855,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 05:00:00,51.3,11.8,0.0034347177,3.7912292,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 05:00:00,51.3,11.9,0.003941357,3.7228699,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 06:00:00,51.4,11.8,0.004529953,3.737793,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 06:00:00,51.4,11.9,0.0047907233,3.6069336,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 06:00:00,51.3,11.8,0.003747642,3.7456055,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 06:00:00,51.3,11.9,0.0045225024,3.6733398,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 07:00:00,51.4,11.8,0.005863607,3.8856506,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 07:00:00,51.4,11.9,0.005930662,3.76651,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 07:00:00,51.3,11.8,0.0047162175,3.7586975,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 07:00:00,51.3,11.9,0.005379319,3.6786194,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 08:00:00,51.4,11.8,0.005863607,4.4319153,82342.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 08:00:00,51.4,11.9,0.005930662,4.367462,87386.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 08:00:00,51.3,11.8,0.0047162175,4.222931,84778.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 08:00:00,51.3,11.9,0.005379319,4.1858215,89396.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 09:00:00,51.4,11.8,0.005863607,5.3279724,373564.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 09:00:00,51.4,11.9,0.005930662,5.3416443,390484.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 09:00:00,51.3,11.8,0.0047162175,5.1424255,373290.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 09:00:00,51.3,11.9,0.005379319,5.1717224,387880.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 10:00:00,51.4,11.8,0.005863607,6.085724,871148.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 10:00:00,51.4,11.9,0.005930662,6.1579895,910452.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 10:00:00,51.3,11.8,0.0047162175,5.9411926,864072.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 10:00:00,51.3,11.9,0.005379319,6.023224,900224.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 11:00:00,51.4,11.8,0.005863607,6.617035,1449156.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 11:00:00,51.4,11.9,0.005930662,6.7205505,1500200.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 11:00:00,51.3,11.8,0.0047162175,6.44516,1441282.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 11:00:00,51.3,11.9,0.005379319,6.5643005,1489080.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 12:00:00,51.4,11.8,0.005863607,6.799347,1871116.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 12:00:00,51.4,11.9,0.005930662,6.897003,1920420.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 12:00:00,51.3,11.8,0.0047162175,6.6391907,1865152.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 12:00:00,51.3,11.9,0.005379319,6.7446594,1910614.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 13:00:00,51.4,11.8,0.005863607,6.8158264,2189992.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 13:00:00,51.4,11.9,0.005930662,6.9076233,2240206.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 13:00:00,51.3,11.8,0.0047162175,6.671295,2196606.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 13:00:00,51.3,11.9,0.005379319,6.7709045,2245494.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 14:00:00,51.4,11.8,0.0067204237,6.613312,2382530.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 14:00:00,51.4,11.9,0.0067949295,6.697296,2429668.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 14:00:00,51.3,11.8,0.004917383,6.5117493,2399858.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 14:00:00,51.3,11.9,0.0058859587,6.5937805,2445780.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 15:00:00,51.4,11.8,0.007763505,6.22406,2451242.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 15:00:00,51.4,11.9,0.008359551,6.282654,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 15:00:00,51.3,11.8,0.004917383,6.177185,2467722.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 15:00:00,51.3,11.9,0.0064074993,6.2299194,2514300.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 16:00:00,51.4,11.8,0.00834465,6.0762634,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 16:00:00,51.4,11.9,0.008940697,6.134857,2498592.0,0,0.0,50.0,lat51.4_lon11.9
